spectrumfile,SN,host_z,z,m15,spec_type,Mv_peak,instrument,obsdate,phase,un_p,filter,SNR,exptime(s),exptime_total,shift,width,comments,m
2017hoq_LDSS3_20180308.txt,2017hoq,N,0.02,1.2,Ia,,LDSS3,03/08/2018,122,,,21,1*1800,,,,,m_r  =20.2
2017fzw_LDSS3_20180308.txt,2017fzw,Y,0.0054,1.7,Ia-91bg,,LDSS3,03/08/2018,195,,,17,3*900,,,,,m_r  = 20.6
2017gbb_LDSS3_20180308.txt,2017gbb,Y,0.010422,---,Ia,,LDSS3,03/08/2018,210,,,15,3*900,,,,,m_r  = 20.6
2017iyb_LDSS3_20180308.txt,2017iyb,Y,0.010108,1.5,Ia,,LDSS3,03/08/2018,68,,,25,1*600,,,,,m_r  = 17.72
ASASSN-17qg_LDSS3_20180308.txt,ASASSN-17qg,Y,0.01933,---,Ia,,LDSS3,03/08/2018,93,,,23,1*900,,,,,m_r = 18.8
2017ghs_LDSS3_20180308.txt,2017ghs,Y,0.018146,---,Ia,,LDSS3,03/08/2018,214,,,11,5*1500,,,,,m_r = 22.45
2017cbv_LDSS3_20180308.txt,2017cbv,Y,0.00399,1,Ia,,LDSS3,03/08/2018,346,,,24,3*1200,,,,,m_r = 20.5
---,2017jfw,Y,0.014413,---,Ia-91bg,,LDSS3,03/08/2018,120,,,---,,,,,,m_r = 21.14
---,2017isq,Y,0.009393,---,Ia,,MDM,03/07/2018,120,,,---,,,,,,
2017hjw_LBT_20180314.txt,2017hjw,Y,0.016161,1.1,Ia,,LBT,03/14/2018,135,,,33,,,,,,
ASASSN-17pg_LBT_20180314.txt,ASASSN-17pg,Y,0.005624,1.7,Ia,,LBT,03/14/2018,106,,,16,,,,,,
---,2017ejb,Y,0.009867,2,Ia-91bg,,VLT,03/19/2018,287,,,---,,,,,,
---,2017ezd,Y,0.018076,1.2,Ia,,VLT,03/19/2018,256,,,---,,,,,,
2017erp_LDSS3_20180408.txt,2017erp,Y,0.006174,1.3,Ia,,LDSS3,04/07/2018,281,,,18,,,,,,
2017isq_LDSS3_20180408.txt,2017isq,Y,0.009393,---,Ia,,LDSS3,04/07/2018,151,,,39,,,,,,
2017fzw_LDSS3_20180408.txt,2017fzw,Y,0.0054,1.7,Ia-91bg,,LDSS3,04/07/2018,226,,,18,,,,,,
2017gah_LDSS3_20180408.txt,2017gah,Y,0.008906,1.7,Ia,,LDSS3,04/07/2018,228,,,11,,,,,,
2017hoq_LDSS3_20180408.txt,2017hoq,N,0.02,1.2,Ia,,LDSS3,04/07/2018,153,,,45,,,,,,
2017iyb_LDSS3_20180408.txt,2017iyb,Y,0.010108,1.5,Ia,,LDSS3,04/07/2018,100,,,19,,,,,,
2017izu_LDSS3_20180408.txt,2017izu,Y,0.016915,---,Ia,,LDSS3,04/07/2018,98,,,22,,,,,,
2017jfw_LDSS3_20180408.txt,2017jfw,Y,0.014413,---,Ia-91bg,,LDSS3,04/07/2018,140,1,,11,,,,,,
ASASSN-18an_LDSS3_20180408.txt,ASASSN-18an,Y,0.017906,1.9,Ia,,LDSS3,04/07/2018,77,,,12,,,,,,
